Product_Name,Brand,Category,Usage_Frequency,Price,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin,Price_IDR,combined_features,Image_URL
divine primer,colourpop,eyeliner,occasional,96.0,2.2,3557,150ml,normal,male,Spray,salicylic acid,True,Germany,1440000.0,eyeliner normal occasional salicylic acid,
divine exfoliator,huda beauty,lipstick,monthly,26.21,4.9,4167,200ml,sensitive,unisex,Bottle,shea butter,True,USA,393150.0,lipstick sensitive monthly shea butter,
perfect blush,tatcha,setting spray,daily,104.06,3.2,2802,250ml,dry,unisex,Compact,shea butter,False,UK,1560900.0,setting spray dry daily shea butter,
perfect highlighter,kiehl’s,cleanser,occasional,131.95,4.0,4860,150ml,combination,female,Stick,salicylic acid,False,USA,1979249.9999999998,cleanser combination occasional salicylic acid,
super cleanser,huda beauty,bronzer,monthly,90.45,1.5,9690,150ml,sensitive,unisex,Tube,salicylic acid,True,South Korea,1356750.0,bronzer sensitive monthly salicylic acid,
ultra face oil,tarte,primer,weekly,65.13,2.9,2612,250ml,sensitive,male,Bottle,hyaluronic acid,False,Australia,976949.9999999999,primer sensitive weekly hyaluronic acid,
divine lip gloss,glossier,face oil,occasional,55.14,3.8,9593,150ml,sensitive,male,Stick,salicylic acid,False,France,827100.0,face oil sensitive occasional salicylic acid,
perfect blush,make up for ever,contour,monthly,35.33,3.4,4230,150ml,normal,unisex,Jar,salicylic acid,False,South Korea,529950.0,contour normal monthly salicylic acid,
divine foundation,anastasia beverly hills,mascara,daily,145.37,2.3,6045,50ml,combination,male,Jar,retinol,True,France,2180550.0,mascara combination daily retinol,
divine cleanser,fenty beauty,face mask,monthly,119.26,4.6,9425,100ml,sensitive,male,Compact,hyaluronic acid,False,Japan,1788900.0,face mask sensitive monthly hyaluronic acid,
perfect eyeliner,e.l.f.,makeup remover,occasional,148.69,3.7,59,150ml,combination,unisex,Jar,retinol,True,Australia,2230350.0,makeup remover combination occasional retinol,
super serum,hourglass,foundation,weekly,96.3,3.2,7512,250ml,normal,male,Jar,shea butter,True,Australia,1444500.0,foundation normal weekly shea butter,
divine setting spray,pat mcgrath labs,highlighter,daily,105.54,4.9,1098,150ml,dry,female,Spray,glycerin,False,Japan,1583100.0,highlighter dry daily glycerin,
magic eye shadow,laura mercier,contour,occasional,34.06,3.0,4490,50ml,oily,unisex,Stick,vitamin c,False,Japan,510900.00000000006,contour oily occasional vitamin c,
ultra exfoliator,too faced,bronzer,monthly,62.56,2.3,3254,30ml,combination,female,Bottle,retinol,False,France,938400.0,bronzer combination monthly retinol,
magic lip liner,perricone md,lip gloss,daily,120.23,1.6,3813,50ml,oily,male,Compact,vitamin c,False,Germany,1803450.0,lip gloss oily daily vitamin c,
super makeup remover,rms beauty,eyeliner,monthly,62.98,3.3,1926,200ml,dry,female,Spray,glycerin,True,UK,944700.0,eyeliner dry monthly glycerin,
perfect bb cream,sisley,powder,weekly,74.95,1.9,1270,250ml,dry,unisex,Stick,salicylic acid,True,France,1124250.0,powder dry weekly salicylic acid,
magic bb cream,juvia’s place,highlighter,occasional,46.66,4.6,5398,200ml,sensitive,male,Spray,glycerin,False,Italy,699900.0,highlighter sensitive occasional glycerin,
super lip liner,colourpop,powder,monthly,27.45,1.2,9692,50ml,oily,female,Bottle,glycerin,True,Australia,411750.0,powder oily monthly glycerin,
ultra lip gloss,urban decay,eye shadow,daily,134.54,1.0,4973,100ml,dry,female,Spray,hyaluronic acid,False,France,2018099.9999999998,eye shadow dry daily hyaluronic acid,
super primer,rare beauty,highlighter,weekly,111.7,1.7,9892,150ml,combination,unisex,Compact,retinol,True,USA,1675500.0,highlighter combination weekly retinol,
super cleanser,fenty beauty,makeup remover,monthly,148.76,2.3,4487,30ml,sensitive,unisex,Spray,vitamin c,False,USA,2231400.0,makeup remover sensitive monthly vitamin c,
divine eyeliner,fenty beauty,eye shadow,occasional,74.51,4.6,4884,30ml,oily,male,Stick,glycerin,False,South Korea,1117650.0,eye shadow oily occasional glycerin,
super contour,becca,cleanser,monthly,63.79,2.0,7155,30ml,dry,female,Jar,vitamin c,True,France,956850.0,cleanser dry monthly vitamin c,
perfect eyeliner,patrick ta,bronzer,daily,135.46,4.0,5148,250ml,dry,female,Bottle,shea butter,False,USA,2031900.0000000002,bronzer dry daily shea butter,
divine cleanser,shiseido,powder,weekly,74.45,4.0,69,30ml,oily,female,Spray,shea butter,False,Australia,1116750.0,powder oily weekly shea butter,
super foundation,rare beauty,concealer,monthly,25.46,2.8,6843,150ml,dry,male,Compact,hyaluronic acid,False,South Korea,381900.0,concealer dry monthly hyaluronic acid,
magic makeup remover,kylie cosmetics,mascara,occasional,58.41,1.4,4149,200ml,oily,unisex,Jar,salicylic acid,False,UK,876150.0,mascara oily occasional salicylic acid,
perfect face mask,rms beauty,blush,weekly,142.53,2.5,734,100ml,oily,unisex,Compact,glycerin,False,France,2137950.0,blush oily weekly glycerin,
perfect contour,pat mcgrath labs,serum,occasional,99.2,3.1,4405,30ml,oily,male,Tube,aloe vera,True,Japan,1488000.0,serum oily occasional aloe vera,
divine cc cream,fenty beauty,mascara,occasional,132.98,1.4,7747,30ml,dry,unisex,Jar,glycerin,True,South Korea,1994699.9999999998,mascara dry occasional glycerin,
perfect lip liner,bite beauty,face oil,weekly,72.88,1.1,3358,30ml,sensitive,female,Compact,shea butter,False,Australia,1093200.0,face oil sensitive weekly shea butter,
ultra moisturizer,hourglass,contour,daily,79.42,4.7,3975,100ml,dry,female,Bottle,shea butter,False,France,1191300.0,contour dry daily shea butter,
magic setting spray,drunk elephant,cleanser,daily,70.15,3.0,786,200ml,dry,unisex,Tube,shea butter,True,Japan,1052250.0,cleanser dry daily shea butter,
magic cc cream,urban decay,contour,weekly,111.62,4.9,2705,50ml,normal,male,Compact,retinol,False,South Korea,1674300.0,contour normal weekly retinol,
divine setting spray,laura mercier,bb cream,monthly,45.83,2.1,6947,50ml,oily,female,Jar,salicylic acid,False,Japan,687450.0,bb cream oily monthly salicylic acid,
super exfoliator,hourglass,exfoliator,occasional,19.74,1.3,5980,150ml,normal,unisex,Spray,salicylic acid,False,South Korea,296100.0,exfoliator normal occasional salicylic acid,
perfect eye shadow,laura mercier,eyeliner,weekly,112.67,3.3,1492,200ml,dry,unisex,Spray,aloe vera,True,Germany,1690050.0,eyeliner dry weekly aloe vera,
super highlighter,tarte,exfoliator,occasional,148.7,3.5,5380,100ml,normal,unisex,Stick,retinol,False,Australia,2230500.0,exfoliator normal occasional retinol,
ultra serum,anastasia beverly hills,concealer,occasional,49.32,2.5,3274,250ml,dry,female,Bottle,salicylic acid,True,Australia,739800.0,concealer dry occasional salicylic acid,
ultra cleanser,laura mercier,cc cream,weekly,42.84,1.1,4441,50ml,sensitive,male,Jar,vitamin c,True,South Korea,642600.0,cc cream sensitive weekly vitamin c,
perfect serum,e.l.f.,concealer,occasional,133.56,1.3,7450,200ml,normal,male,Spray,glycerin,False,Australia,2003400.0,concealer normal occasional glycerin,
divine cleanser,becca,face mask,occasional,49.67,1.9,8956,30ml,oily,female,Jar,hyaluronic acid,False,Germany,745050.0,face mask oily occasional hyaluronic acid,
divine primer,tarte,bronzer,occasional,31.81,3.1,6868,100ml,sensitive,male,Compact,shea butter,False,Japan,477150.0,bronzer sensitive occasional shea butter,
super eyeliner,e.l.f.,primer,occasional,28.72,2.6,4597,200ml,sensitive,unisex,Stick,aloe vera,False,Japan,430800.0,primer sensitive occasional aloe vera,
super blush,yves saint laurent,face mask,weekly,110.51,4.2,2973,100ml,normal,male,Stick,vitamin c,False,UK,1657650.0,face mask normal weekly vitamin c,
magic primer,bourjois,contour,occasional,142.17,3.9,8901,50ml,oily,unisex,Stick,salicylic acid,False,Italy,2132550.0,contour oily occasional salicylic acid,
perfect mascara,rare beauty,exfoliator,weekly,97.15,1.2,764,100ml,normal,female,Spray,salicylic acid,True,Australia,1457250.0,exfoliator normal weekly salicylic acid,
ultra concealer,perricone md,makeup remover,daily,110.12,2.3,1532,200ml,oily,male,Compact,shea butter,False,Germany,1651800.0,makeup remover oily daily shea butter,
ultra face oil,laura mercier,exfoliator,monthly,13.9,3.6,262,100ml,dry,male,Stick,aloe vera,True,USA,208500.0,exfoliator dry monthly aloe vera,
magic contour,kylie cosmetics,powder,occasional,107.38,4.9,5290,50ml,normal,male,Spray,hyaluronic acid,False,Australia,1610700.0,powder normal occasional hyaluronic acid,
magic mascara,bourjois,cleanser,daily,97.75,2.9,3341,30ml,combination,male,Compact,vitamin c,False,UK,1466250.0,cleanser combination daily vitamin c,
super eye shadow,bourjois,eye shadow,daily,57.24,2.5,7063,30ml,combination,female,Jar,hyaluronic acid,True,Italy,858600.0,eye shadow combination daily hyaluronic acid,
ultra eyeliner,glossier,lip liner,daily,94.09,2.5,9321,100ml,oily,unisex,Spray,shea butter,True,France,1411350.0,lip liner oily daily shea butter,
super bb cream,bobby brown,foundation,occasional,22.93,4.0,8824,200ml,dry,unisex,Stick,vitamin c,False,Germany,343950.0,foundation dry occasional vitamin c,
perfect concealer,becca,lipstick,daily,38.7,3.5,1145,200ml,oily,male,Stick,glycerin,True,UK,580500.0,lipstick oily daily glycerin,
magic setting spray,farsali,lip liner,daily,103.44,4.5,7547,150ml,combination,female,Spray,shea butter,False,Germany,1551600.0,lip liner combination daily shea butter,
divine makeup remover,tatcha,contour,weekly,84.37,2.4,3721,200ml,dry,unisex,Stick,shea butter,True,France,1265550.0,contour dry weekly shea butter,
super bronzer,anastasia beverly hills,cleanser,weekly,143.23,4.8,2308,50ml,normal,unisex,Stick,retinol,True,Italy,2148450.0,cleanser normal weekly retinol,
magic lipstick,rms beauty,powder,monthly,114.37,2.8,9401,30ml,normal,male,Bottle,retinol,False,Italy,1715550.0,powder normal monthly retinol,
divine contour,morphe,makeup remover,monthly,108.92,3.6,8901,30ml,combination,unisex,Compact,vitamin c,False,Italy,1633800.0,makeup remover combination monthly vitamin c,
ultra blush,rms beauty,lipstick,occasional,15.36,1.5,2461,150ml,combination,female,Bottle,aloe vera,True,South Korea,230400.0,lipstick combination occasional aloe vera,
divine setting spray,rms beauty,powder,weekly,144.46,1.4,9314,30ml,oily,male,Stick,hyaluronic acid,False,UK,2166900.0,powder oily weekly hyaluronic acid,
divine setting spray,huda beauty,face mask,occasional,53.25,3.6,6115,250ml,sensitive,male,Spray,hyaluronic acid,False,Germany,798750.0,face mask sensitive occasional hyaluronic acid,
ultra makeup remover,pat mcgrath labs,serum,occasional,39.87,3.0,7793,200ml,normal,female,Spray,hyaluronic acid,True,France,598050.0,serum normal occasional hyaluronic acid,
perfect eyeliner,sisley,serum,weekly,17.32,2.6,1402,100ml,oily,female,Bottle,glycerin,False,Italy,259800.0,serum oily weekly glycerin,
super mascara,too faced,foundation,weekly,104.76,3.3,1435,100ml,combination,male,Bottle,hyaluronic acid,False,UK,1571400.0,foundation combination weekly hyaluronic acid,
magic makeup remover,too faced,blush,monthly,34.46,2.0,5485,150ml,oily,female,Jar,retinol,True,Italy,516900.0,blush oily monthly retinol,
ultra face mask,tatcha,foundation,monthly,132.75,3.7,9541,50ml,oily,female,Stick,aloe vera,False,Italy,1991250.0,foundation oily monthly aloe vera,
perfect bb cream,fenty beauty,cleanser,daily,86.04,4.2,7546,150ml,sensitive,female,Compact,shea butter,True,Germany,1290600.0,cleanser sensitive daily shea butter,
perfect bb cream,natasha denona,powder,occasional,15.83,3.5,7966,100ml,oily,female,Jar,shea butter,True,Italy,237450.0,powder oily occasional shea butter,
magic lipstick,danessa myricks,bronzer,monthly,15.17,3.3,9458,100ml,sensitive,female,Stick,salicylic acid,False,Australia,227550.0,bronzer sensitive monthly salicylic acid,
divine concealer,perricone md,primer,occasional,114.25,4.6,8534,150ml,oily,female,Tube,vitamin c,True,France,1713750.0,primer oily occasional vitamin c,
divine exfoliator,kylie cosmetics,face mask,occasional,72.78,3.9,1857,30ml,oily,female,Tube,retinol,True,Germany,1091700.0,face mask oily occasional retinol,
super contour,rare beauty,primer,occasional,114.03,1.0,9905,50ml,normal,female,Jar,salicylic acid,False,Japan,1710450.0,primer normal occasional salicylic acid,
divine contour,milk makeup,mascara,daily,105.93,1.7,5581,30ml,dry,male,Bottle,vitamin c,False,UK,1588950.0,mascara dry daily vitamin c,
ultra foundation,pat mcgrath labs,setting spray,weekly,40.89,3.0,7249,200ml,dry,female,Jar,hyaluronic acid,False,South Korea,613350.0,setting spray dry weekly hyaluronic acid,
divine face mask,clinique,contour,daily,141.48,3.7,9189,150ml,normal,unisex,Bottle,shea butter,True,Germany,2122200.0,contour normal daily shea butter,
divine concealer,anastasia beverly hills,face mask,monthly,109.61,1.7,506,250ml,oily,male,Tube,glycerin,True,Italy,1644150.0,face mask oily monthly glycerin,
super exfoliator,sisley,moisturizer,weekly,78.62,2.7,4829,150ml,normal,male,Tube,hyaluronic acid,False,Germany,1179300.0,moisturizer normal weekly hyaluronic acid,
divine bb cream,kvd beauty,lip liner,occasional,101.67,2.3,52,30ml,oily,unisex,Spray,vitamin c,False,UK,1525050.0,lip liner oily occasional vitamin c,
perfect cleanser,farsali,bronzer,monthly,85.31,1.3,8316,30ml,combination,unisex,Jar,glycerin,False,UK,1279650.0,bronzer combination monthly glycerin,
divine exfoliator,clinique,makeup remover,weekly,76.5,4.8,8962,150ml,sensitive,unisex,Stick,shea butter,False,Italy,1147500.0,makeup remover sensitive weekly shea butter,
magic contour,natasha denona,face mask,daily,129.66,3.3,7110,150ml,normal,female,Spray,hyaluronic acid,False,Italy,1944900.0,face mask normal daily hyaluronic acid,
super lipstick,shiseido,concealer,daily,42.77,4.9,6165,250ml,combination,male,Stick,shea butter,True,Japan,641550.0,concealer combination daily shea butter,
magic eyeliner,milk makeup,blush,occasional,97.68,1.3,7863,50ml,oily,female,Compact,aloe vera,True,Italy,1465200.0,blush oily occasional aloe vera,
divine setting spray,bobby brown,blush,weekly,126.69,4.8,9525,200ml,oily,unisex,Compact,vitamin c,True,France,1900350.0,blush oily weekly vitamin c,
magic highlighter,it cosmetics,lip liner,occasional,141.34,4.9,9617,200ml,oily,female,Jar,aloe vera,True,Japan,2120100.0,lip liner oily occasional aloe vera,
ultra eye shadow,nars,foundation,monthly,136.12,4.6,5489,100ml,normal,female,Jar,shea butter,False,UK,2041800.0,foundation normal monthly shea butter,
magic primer,clinique,blush,occasional,48.08,2.6,8445,200ml,combination,male,Stick,shea butter,False,Italy,721200.0,blush combination occasional shea butter,
divine lip gloss,rare beauty,face oil,occasional,149.9,4.3,6185,200ml,normal,female,Compact,hyaluronic acid,False,UK,2248500.0,face oil normal occasional hyaluronic acid,
super lip liner,becca,exfoliator,monthly,89.22,2.5,8595,30ml,dry,female,Compact,vitamin c,False,South Korea,1338300.0,exfoliator dry monthly vitamin c,
divine cleanser,kvd beauty,bb cream,monthly,41.47,4.3,108,30ml,sensitive,female,Tube,shea butter,False,South Korea,622050.0,bb cream sensitive monthly shea butter,
super face mask,shiseido,setting spray,daily,43.51,3.5,3246,50ml,dry,male,Compact,glycerin,True,USA,652650.0,setting spray dry daily glycerin,
super contour,nars,highlighter,daily,70.22,1.4,6921,100ml,dry,female,Stick,vitamin c,True,Germany,1053300.0,highlighter dry daily vitamin c,
ultra serum,patrick ta,moisturizer,weekly,108.06,3.5,1467,150ml,oily,male,Spray,retinol,True,Germany,1620900.0,moisturizer oily weekly retinol,
super primer,danessa myricks,primer,weekly,148.83,2.7,7034,50ml,normal,female,Spray,aloe vera,False,Australia,2232450.0,primer normal weekly aloe vera,
divine setting spray,natasha denona,bb cream,weekly,22.51,3.6,8061,100ml,normal,male,Bottle,hyaluronic acid,True,France,337650.0,bb cream normal weekly hyaluronic acid,
divine mascara,sisley,concealer,occasional,107.14,2.8,5333,30ml,oily,unisex,Stick,shea butter,False,UK,1607100.0,concealer oily occasional shea butter,
divine lip gloss,laura mercier,cleanser,occasional,93.49,1.7,1959,250ml,sensitive,female,Tube,retinol,True,Australia,1402350.0,cleanser sensitive occasional retinol,
super blush,sisley,face oil,occasional,57.93,3.2,7353,30ml,combination,unisex,Spray,retinol,False,Italy,868950.0,face oil combination occasional retinol,
magic serum,huda beauty,setting spray,occasional,129.56,3.7,7580,150ml,normal,male,Jar,vitamin c,False,France,1943400.0,setting spray normal occasional vitamin c,
ultra lip gloss,charlotte tilbury,contour,weekly,39.63,3.4,4162,50ml,sensitive,female,Compact,salicylic acid,True,USA,594450.0,contour sensitive weekly salicylic acid,
divine face oil,urban decay,exfoliator,occasional,71.49,2.8,770,50ml,combination,unisex,Tube,shea butter,True,Japan,1072350.0,exfoliator combination occasional shea butter,
ultra setting spray,it cosmetics,setting spray,daily,62.75,3.1,2901,150ml,sensitive,female,Compact,retinol,True,France,941250.0,setting spray sensitive daily retinol,
ultra lip liner,bobby brown,face oil,monthly,88.28,3.1,159,50ml,sensitive,unisex,Stick,vitamin c,False,Japan,1324200.0,face oil sensitive monthly vitamin c,
magic cleanser,nars,face oil,daily,94.71,3.9,5860,200ml,combination,female,Compact,vitamin c,False,Germany,1420650.0,face oil combination daily vitamin c,
magic serum,morphe,powder,occasional,63.46,4.2,2493,150ml,oily,unisex,Jar,retinol,True,South Korea,951900.0,powder oily occasional retinol,
ultra bb cream,kvd beauty,makeup remover,weekly,117.39,3.6,709,250ml,combination,male,Jar,glycerin,False,USA,1760850.0,makeup remover combination weekly glycerin,
magic lipstick,tatcha,eye shadow,weekly,53.38,1.7,2607,50ml,combination,unisex,Jar,shea butter,True,Australia,800700.0,eye shadow combination weekly shea butter,
ultra exfoliator,bite beauty,moisturizer,daily,71.22,1.5,6782,150ml,dry,male,Stick,hyaluronic acid,True,South Korea,1068300.0,moisturizer dry daily hyaluronic acid,
divine serum,charlotte tilbury,moisturizer,monthly,26.05,4.4,8170,250ml,combination,male,Tube,retinol,True,Italy,390750.0,moisturizer combination monthly retinol,
perfect concealer,kiehl’s,bronzer,weekly,136.41,1.3,7205,200ml,oily,female,Bottle,aloe vera,False,South Korea,2046150.0,bronzer oily weekly aloe vera,
super powder,nars,contour,daily,97.91,2.2,7774,200ml,oily,male,Stick,aloe vera,False,UK,1468650.0,contour oily daily aloe vera,
divine mascara,bourjois,bb cream,occasional,148.59,2.0,3949,250ml,normal,male,Bottle,retinol,True,Italy,2228850.0,bb cream normal occasional retinol,
ultra face oil,tarte,foundation,daily,22.49,3.5,9078,30ml,sensitive,male,Compact,retinol,False,Italy,337350.0,foundation sensitive daily retinol,
perfect lipstick,bourjois,concealer,weekly,83.7,1.5,7243,30ml,oily,unisex,Tube,salicylic acid,True,Australia,1255500.0,concealer oily weekly salicylic acid,
divine primer,bite beauty,eyeliner,daily,145.44,2.1,2793,150ml,sensitive,unisex,Jar,glycerin,True,Japan,2181600.0,eyeliner sensitive daily glycerin,
super contour,sisley,concealer,occasional,128.12,2.9,2377,250ml,combination,unisex,Spray,hyaluronic acid,False,Japan,1921800.0,concealer combination occasional hyaluronic acid,
magic eye shadow,fenty beauty,serum,monthly,122.23,2.4,5600,30ml,combination,female,Bottle,shea butter,False,South Korea,1833450.0,serum combination monthly shea butter,
divine highlighter,farsali,moisturizer,weekly,119.67,4.4,9166,150ml,sensitive,male,Tube,retinol,True,Italy,1795050.0,moisturizer sensitive weekly retinol,
ultra powder,clinique,foundation,occasional,92.43,1.7,2230,250ml,combination,male,Jar,vitamin c,False,Australia,1386450.0,foundation combination occasional vitamin c,
ultra powder,it cosmetics,exfoliator,monthly,69.14,4.6,6584,200ml,combination,male,Spray,hyaluronic acid,True,USA,1037100.0,exfoliator combination monthly hyaluronic acid,
ultra powder,bite beauty,lip gloss,monthly,29.6,3.4,8832,50ml,sensitive,female,Jar,glycerin,False,Japan,444000.0,lip gloss sensitive monthly glycerin,
divine primer,colourpop,cc cream,daily,67.61,2.4,425,250ml,sensitive,male,Spray,retinol,True,USA,1014150.0,cc cream sensitive daily retinol,
perfect cleanser,juvia’s place,moisturizer,daily,86.18,4.9,3436,150ml,normal,female,Spray,glycerin,False,Australia,1292700.0,moisturizer normal daily glycerin,
super makeup remover,milk makeup,contour,daily,55.52,1.2,5117,100ml,dry,male,Tube,glycerin,True,USA,832800.0,contour dry daily glycerin,
perfect setting spray,pat mcgrath labs,highlighter,weekly,142.14,3.3,4548,150ml,normal,female,Compact,shea butter,False,Germany,2132100.0,highlighter normal weekly shea butter,
magic eyeliner,shiseido,cc cream,weekly,149.16,4.4,6158,50ml,sensitive,female,Jar,shea butter,True,USA,2237400.0,cc cream sensitive weekly shea butter,
divine cleanser,sisley,cleanser,occasional,52.89,3.0,9595,150ml,sensitive,female,Stick,aloe vera,False,Australia,793350.0,cleanser sensitive occasional aloe vera,
ultra powder,patrick ta,cleanser,weekly,94.96,1.0,9200,30ml,combination,unisex,Stick,retinol,True,Australia,1424400.0,cleanser combination weekly retinol,
divine lip gloss,farsali,face oil,monthly,143.49,2.6,8066,100ml,sensitive,male,Stick,vitamin c,True,UK,2152350.0,face oil sensitive monthly vitamin c,
perfect lip liner,huda beauty,lip gloss,weekly,62.28,3.7,7809,150ml,dry,male,Jar,glycerin,False,UK,934200.0,lip gloss dry weekly glycerin,
perfect eye shadow,natasha denona,cc cream,daily,149.85,1.8,7547,200ml,combination,female,Bottle,shea butter,True,USA,2247750.0,cc cream combination daily shea butter,
super lip gloss,patrick ta,bronzer,weekly,83.63,4.8,3968,30ml,sensitive,male,Spray,aloe vera,False,UK,1254450.0,bronzer sensitive weekly aloe vera,
divine highlighter,bourjois,mascara,occasional,51.65,2.1,3815,250ml,dry,female,Bottle,shea butter,True,Australia,774750.0,mascara dry occasional shea butter,
magic makeup remover,too faced,makeup remover,monthly,65.46,2.5,1441,200ml,oily,male,Jar,aloe vera,False,USA,981899.9999999999,makeup remover oily monthly aloe vera,
perfect cleanser,ilia beauty,moisturizer,occasional,47.92,3.9,8471,100ml,normal,female,Compact,aloe vera,True,Italy,718800.0,moisturizer normal occasional aloe vera,
ultra highlighter,shiseido,primer,daily,71.25,4.0,5749,150ml,oily,female,Bottle,shea butter,False,France,1068750.0,primer oily daily shea butter,
ultra lipstick,nars,powder,monthly,73.09,4.8,1574,30ml,dry,unisex,Spray,vitamin c,True,Germany,1096350.0,powder dry monthly vitamin c,
super setting spray,farsali,exfoliator,weekly,45.01,4.3,7285,150ml,dry,female,Jar,aloe vera,False,UK,675150.0,exfoliator dry weekly aloe vera,
magic powder,kylie cosmetics,mascara,daily,127.22,3.1,9065,200ml,combination,female,Spray,hyaluronic acid,False,Japan,1908300.0,mascara combination daily hyaluronic acid,
perfect setting spray,sisley,face mask,occasional,62.17,4.9,4328,50ml,dry,unisex,Jar,glycerin,False,Germany,932550.0,face mask dry occasional glycerin,
perfect moisturizer,rare beauty,eye shadow,daily,46.09,2.4,7298,250ml,dry,unisex,Tube,retinol,False,USA,691350.0,eye shadow dry daily retinol,
super cleanser,becca,powder,daily,132.84,2.1,4276,50ml,dry,unisex,Bottle,hyaluronic acid,True,France,1992600.0,powder dry daily hyaluronic acid,
perfect contour,farsali,cleanser,occasional,70.92,2.0,5971,200ml,dry,unisex,Tube,glycerin,True,France,1063800.0,cleanser dry occasional glycerin,
divine setting spray,bite beauty,serum,daily,46.21,4.5,8829,50ml,dry,female,Spray,hyaluronic acid,True,Germany,693150.0,serum dry daily hyaluronic acid,
super setting spray,ilia beauty,cc cream,occasional,73.99,2.2,7777,150ml,normal,unisex,Jar,shea butter,True,Japan,1109850.0,cc cream normal occasional shea butter,
magic lip gloss,kylie cosmetics,blush,occasional,47.86,1.4,7664,50ml,normal,female,Bottle,vitamin c,True,South Korea,717900.0,blush normal occasional vitamin c,
perfect highlighter,milk makeup,primer,daily,103.84,3.3,1206,200ml,oily,female,Stick,hyaluronic acid,False,USA,1557600.0,primer oily daily hyaluronic acid,
perfect concealer,juvia’s place,moisturizer,monthly,40.17,2.1,6895,150ml,combination,female,Tube,salicylic acid,True,Australia,602550.0,moisturizer combination monthly salicylic acid,
magic lip liner,rms beauty,contour,monthly,43.28,3.4,1567,30ml,normal,female,Bottle,vitamin c,True,Australia,649200.0,contour normal monthly vitamin c,
magic powder,becca,concealer,occasional,108.74,4.0,5921,30ml,sensitive,female,Stick,aloe vera,False,UK,1631100.0,concealer sensitive occasional aloe vera,
ultra lip gloss,kiehl’s,eye shadow,weekly,78.36,1.9,3534,30ml,normal,male,Tube,aloe vera,False,USA,1175400.0,eye shadow normal weekly aloe vera,
ultra exfoliator,laura mercier,makeup remover,daily,46.74,1.2,6838,200ml,sensitive,female,Jar,shea butter,True,USA,701100.0,makeup remover sensitive daily shea butter,
super bb cream,rms beauty,moisturizer,weekly,97.76,1.9,7701,150ml,combination,male,Spray,glycerin,True,Germany,1466400.0,moisturizer combination weekly glycerin,
super eyeliner,charlotte tilbury,concealer,weekly,137.54,1.9,2124,50ml,combination,male,Bottle,glycerin,True,Australia,2063099.9999999998,concealer combination weekly glycerin,
ultra lip liner,morphe,primer,occasional,92.26,1.3,9864,200ml,dry,female,Bottle,hyaluronic acid,True,USA,1383900.0,primer dry occasional hyaluronic acid,
divine concealer,tarte,lipstick,monthly,79.18,1.0,7201,150ml,combination,unisex,Compact,salicylic acid,False,Italy,1187700.0,lipstick combination monthly salicylic acid,
perfect mascara,colourpop,blush,weekly,83.29,2.3,4336,150ml,dry,unisex,Compact,salicylic acid,False,Japan,1249350.0,blush dry weekly salicylic acid,
